date,no.24,no.64,no.77,no.32,no.39,no.31,no.13,no.5,no.2,no.66,match
2022/4/3,1.833333333,0,0,0.25,0,0,0.666666667,0,2,0.5,0
2022/4/4,0,1.25,0,0.75,0,0,0.833333333,0,2,0,0
2022/4/5,0,0.5,0,0.5,0,0,0,0,0.666666667,0,1
2022/4/8,0.4,0.5,0,1.666666667,0,0.333333333,0.2,0,2,1.6,1
2022/4/10,1.4,0.933333333,0,0,0,0,1.4,0,2.5,0.5,1
2022/4/12,1.4,1,0,0,0,0,2,0,0.8,0.833333333,0
2022/4/13,0.833333333,0,0,0,0,0,1.25,0,1,0.5,1
2022/4/14,1.35,0.4,0,0,0,0,0.833333333,0,1.666666667,0.75,1
2022/4/16,0.6,0.933333333,0,0,0,0.666666667,1.75,0.75,0,0.25,1
2022/4/17,1.166666667,0.733333333,0,0,0,0,0.25,0,0,1.1,0
2022/4/20,1,1,0,0,0,2,0,1.5,0,0,0
2022/4/21,1.166666667,0,0,0,0,0.666666667,0,0,0,0,0
2022/4/22,1.15,0.933333333,0,0,0,1,0,0,0,0,1
2022/4/23,0.5,0.5,0,0,0,0,0,0,0,0,0
2022/4/26,0,0.833333333,0,0,0,0,0,0,0,0,0
2022/4/28,0.857142857,0.452380952,0,0,0,1.25,0,0,1,1,0
2022/4/29,1.416666667,1.1,0,0,0,1.25,0,0,0,0.25,1
2022/4/30,1.75,0.25,0,0,0,0,2,0,2,0.666666667,1
2022/5/1,1,0.4,0,0,0,0,1,0,1.416666667,0,0
2022/5/6,1.8,0.4,0,0,0,0.833333333,0.25,0,0.25,0,0
2022/5/7,0.65,0.4,0,0,0,0.25,0,0,0.5,0,0
2022/5/8,1,0,0,0,0,1,0,0,1.75,0.5,1
2022/5/10,2.083333333,1.166666667,0,0,0,0,0,0,0,0,1
2022/5/11,1,0.25,0,0,0,0,0,0,0.5,0,0
2022/5/12,0.5,0.5,0,0,0,1.666666667,0.333333333,0,0.5,0,1
2022/5/15,0,0,0,0,0,0,1.25,0,1,0,0
2022/5/17,0,1.166666667,0,0,0.666666667,0,0,2,0.333333333,0,1
2022/5/18,1.25,1,0,0,0,0,0,0,0,2,1
2022/5/19,0.25,1.25,0,0,0,0,0,0,0.5,0.5,1
2022/5/20,0,0,0,0,0,0,0,2,0,0,0
2022/5/22,1.25,0.4,0,0,0,0,0,0,0.2,2.166666667,1
2022/5/31,1.8,0,0,0,0,0.5,0,2,0.8,0,1
2022/6/1,1,0,0,0,0,0,0,0,1.333333333,0.5,1
2022/6/3,0,0,0,0,0.5,1,0,0.25,0,0,1
2022/6/4,0.833333333,0.916666667,0,0,0,0.333333333,0,0,0,0,0
2022/6/5,1.866666667,0,0,0,0,0,0,0,0,0,1
2022/6/6,0.333333333,0.75,0,0,0,0,0,0,0,1,1
2022/6/10,1.416666667,0.4,0,0,0.666666667,0,0,2,0,0,0
2022/6/11,1,0.5,0,0,0,1,0.5,0,0,1,1
2022/6/13,0.4,1,0,0,0,1.25,0.4,5,0,0.5,1
2022/6/14,0.5,0.5,0,0,0.333333333,0.666666667,0,0.25,0,0,1
2022/6/16,1.25,1.333333333,0,0,0,0,0,0,0,0,0
2022/6/17,2.666666667,0.4,0,0,0,0.5,1.25,0,0,0.833333333,0
2022/6/18,0,0,0,0,1.25,0,0.25,0,0,0,0
2022/6/19,0,0.65,0,0,0.833333333,0,0,0,0,0,0
